Nombre,Fecha_Nac,Nacionalidad,Posicion,Pais_Equipo,Equipo,Fecha_Ini,Fecha_Fin
Kevin De Bruyne,28/06/1991,Belgica,Mediocampista,Inglaterra,Manchester City F.C.,01/01/2015,
Riyad Mahrez,21/02/1991,Argelia,Delantero,Inglaterra,Manchester City F.C.,01/01/2016,
Romelu Lukaku,13/05/1993,Belgica,Delantero,Inglaterra,Chelsea F.C.,01/01/2018,
Édouard Mendy,01/03/1992,Francia,Portero,Inglaterra,Chelsea F.C.,01/01/2020,
Harry Kane,28/07/1993,Inglaterra,Delantero,Inglaterra,Tottenham Hotspur,05/03/2019,
Hugo Lloris,26/12/1986,Inglaterra,Portero,Inglaterra,Tottenham Hotspur,15/04/2018,
Mohamed Salah,15/06/1992,Egipto,Delantero,Inglaterra,Liverpool F.C.,02/02/2018,
Virgil van Dijk,08/06/1991,Paises Bajos,Defensa,Inglaterra,Liverpool F.C.,02/02/2015,
Cristiano Ronaldo,05/02/1985,Portugal,Delantero,Inglaterra,Manchester United F.C.,05/06/2019,
Raphaël Varane,25/04/1993,Francia,Defensa,Inglaterra,Manchester United F.C.,05/06/2020,
Pierre Emerick Aubameyang,18/06/1989,Francia,Mediocampista,Inglaterra,Arsenal F.C.,01/01/2007,
Bernd Leno,04/03/1992,Alemania,Portero,Inglaterra,Arsenal F.C.,29/05/2016,
Richarlison,10/05/1997,Brasil,Delantero,Inglaterra,Everton F.C.,01/05/2020,
Jordan Pickford,07/03/1994,Inglaterra,Portero,Inglaterra,Everton F.C.,01/05/2015,
Manuel Neuer,01/01/1985,Alemania,Portero,Alemania,Bayern de Múnich,01/01/2004,
Robert Lewandoski,01/01/1985,Polonia,Delantero,Alemania,Bayern de Múnich,01/01/1997,
Erling Haaland,21/07/2000,Noruega,Delantero,Alemania,Borussia Dortmund,01/01/2017,
Marco Reus,31/05/1989,Alemania,Mediocampista,Alemania,Borussia Dortmund,01/01/2007,
Exequiel Palacios,05/10/1998,Argentina,Mediocampista,Alemania,Bayer 04 Leverkusen,05/05/2020,
Andréi Luniov,13/01/1991,Rusia,Portero,Alemania,Bayer 04 Leverkusen,23/02/2021,
Christopher Nkunku,14/11/1997,Francia,Mediocampista,Alemania,R.B. Leipzig,05/06/2019,
Ilaix Moriba,19/01/2003,Guinea,Mediocampista,Alemania,R.B. Leipzig,25/06/2018,
Yann Sommer,17/12/1988,Suiza,Portero,Alemania,Borussia Mönchengladbach,05/01/2010,
Marcus Thuram,06/08/1997,Francia,Delantero,Alemania,Borussia Mönchengladbach,05/01/2015,
Burak Yilmaz,15/07/1985,Turquia,Delantero,Francia,Lille O.S.C.,01/06/2017,
Yusuf Yazici,29/01/1997,Turquia,Mediocampista,Francia,Lille O.S.C.,15/06/2018,
Xherdan Shaqiri,10/10/1991,Suiza,Mediocampista,Francia,Olympique de Lyon,05/01/2018,
